A!REFDES!COMP_REUSE_ID!COMP_SIGNAL_MODEL!COMP_NO_XNET_CONNECTION!COMP_PARENT_PPT!COMP_SYMBOL_EDITED!COMP_PARENT_PPT_PART!COMP_EMBEDDED_PLACEMENT!
J!C:/Users/HEP/Documents/GitHub/PMTDivider/worklib/pmtdividercircuit/physical/dividers_v1.brd!Fri May 26 16:35:57 2017!-8400.00!-13400.00!25600.00!8600.00!0.01!mils!PMTDIVIDERBOARD!10.400000 mil!2!UP TO DATE!
S!J1_1!!!!!!!!
S!J1_2!!!!!!!!
S!J1_3!!!!!!!!
S!J1_4!!!!!!!!
S!J1_5!!!!!!!!
S!J1_6!!!!!!!!
S!J1_7!!!!!!!!
S!J1_8!!!!!!!!
S!J1_9!!!!!!!!
S!J2_1!!!!!!!!
S!J2_2!!!!!!!!
S!J2_3!!!!!!!!
S!J2_4!!!!!!!!
S!J2_5!!!!!!!!
S!J2_6!!!!!!!!
S!J2_7!!!!!!!!
S!J2_8!!!!!!!!
S!J2_9!!!!!!!!
S!C1_1!!!!CSMD1210!!CSMD1210-0.022UF,20%,1210,2KV!!
S!C1_2!!!!CSMD1210!!CSMD1210-0.022UF,20%,1210,2KV!!
S!C1_3!!!!CSMD1210!!CSMD1210-0.022UF,20%,1210,2KV!!
S!C1_4!!!!CSMD1210!!CSMD1210-0.022UF,20%,1210,2KV!!
S!C1_5!!!!CSMD1210!!CSMD1210-0.022UF,20%,1210,2KV!!
S!C1_6!!!!CSMD1210!!CSMD1210-0.022UF,20%,1210,2KV!!
S!C1_7!!!!CSMD1210!!CSMD1210-0.022UF,20%,1210,2KV!!
S!C1_8!!!!CSMD1210!!CSMD1210-0.022UF,20%,1210,2KV!!
S!C1_9!!!!CSMD1210!!CSMD1210-0.022UF,20%,1210,2KV!!
S!C2_1!!!!CSMD1210!!CSMD1210-0.022UF,20%,1210,2KV!!
S!C2_2!!!!CSMD1210!!CSMD1210-0.022UF,20%,1210,2KV!!
S!C2_3!!!!CSMD1210!!CSMD1210-0.022UF,20%,1210,2KV!!
S!C2_4!!!!CSMD1210!!CSMD1210-0.022UF,20%,1210,2KV!!
S!C2_5!!!!CSMD1210!!CSMD1210-0.022UF,20%,1210,2KV!!
S!C2_6!!!!CSMD1210!!CSMD1210-0.022UF,20%,1210,2KV!!
S!C2_7!!!!CSMD1210!!CSMD1210-0.022UF,20%,1210,2KV!!
S!C2_8!!!!CSMD1210!!CSMD1210-0.022UF,20%,1210,2KV!!
S!C2_9!!!!CSMD1210!!CSMD1210-0.022UF,20%,1210,2KV!!
S!C3_1!!!!CSMD1210!!CSMD1210-0.022UF,20%,1210,2KV!!
S!C3_2!!!!CSMD1210!!CSMD1210-0.022UF,20%,1210,2KV!!
S!C3_3!!!!CSMD1210!!CSMD1210-0.022UF,20%,1210,2KV!!
S!C3_4!!!!CSMD1210!!CSMD1210-0.022UF,20%,1210,2KV!!
S!C3_5!!!!CSMD1210!!CSMD1210-0.022UF,20%,1210,2KV!!
S!C3_6!!!!CSMD1210!!CSMD1210-0.022UF,20%,1210,2KV!!
S!C3_7!!!!CSMD1210!!CSMD1210-0.022UF,20%,1210,2KV!!
S!C3_8!!!!CSMD1210!!CSMD1210-0.022UF,20%,1210,2KV!!
S!C3_9!!!!CSMD1210!!CSMD1210-0.022UF,20%,1210,2KV!!
S!R2_1!!!!RSMD1206!!RSMD1206-1.44M,5%,1206!!
S!R2_2!!!!RSMD1206!!RSMD1206-1.44M,5%,1206!!
S!R2_3!!!!RSMD1206!!RSMD1206-1.44M,5%,1206!!
S!R2_4!!!!RSMD1206!!RSMD1206-1.44M,5%,1206!!
S!R2_5!!!!RSMD1206!!RSMD1206-1.44M,5%,1206!!
S!R2_6!!!!RSMD1206!!RSMD1206-1.44M,5%,1206!!
S!R2_7!!!!RSMD1206!!RSMD1206-1.44M,5%,1206!!
S!R2_8!!!!RSMD1206!!RSMD1206-1.44M,5%,1206!!
S!R2_9!!!!RSMD1206!!RSMD1206-1.44M,5%,1206!!
S!R3_1!!!!RSMD1206!!RSMD1206-1M,5%,1206!!
S!R3_2!!!!RSMD1206!!RSMD1206-1M,5%,1206!!
S!R3_3!!!!RSMD1206!!RSMD1206-1M,5%,1206!!
S!R3_4!!!!RSMD1206!!RSMD1206-1M,5%,1206!!
S!R3_5!!!!RSMD1206!!RSMD1206-1M,5%,1206!!
S!R3_6!!!!RSMD1206!!RSMD1206-1M,5%,1206!!
S!R3_7!!!!RSMD1206!!RSMD1206-1M,5%,1206!!
S!R3_8!!!!RSMD1206!!RSMD1206-1M,5%,1206!!
S!R3_9!!!!RSMD1206!!RSMD1206-1M,5%,1206!!
S!R6_1!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R6_2!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R6_3!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R6_4!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R6_5!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R6_6!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R6_7!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R6_8!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R6_9!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R7_1!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R7_2!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R7_3!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R7_4!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R7_5!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R7_6!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R7_7!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R7_8!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R7_9!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R8_1!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R8_2!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R8_3!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R8_4!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R8_5!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R8_6!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R8_7!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R8_8!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R8_9!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R10_1!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
